StudyHours,Attendance,PreviousScore,AssignmentsCompleted,SleepHours,FinalResult
2.0,65,45,3,5,0
3.0,70,50,4,6,0
4.0,75,55,5,6,0
5.0,80,60,6,7,1
6.0,85,65,7,7,1
7.0,90,70,8,8,1
8.0,92,75,9,8,1
1.0,60,40,2,5,0
2.5,68,48,3,6,0
3.5,72,52,4,6,0
4.5,78,58,5,7,1
5.5,82,63,6,7,1
6.5,88,68,7,8,1
7.5,93,74,8,8,1
8.5,95,80,9,8,1
1.5,62,42,2,5,0
2.2,67,47,3,6,0
3.8,74,53,4,6,0
4.8,79,59,5,7,1
5.8,83,64,6,7,1
6.8,89,69,7,8,1
7.8,94,76,8,8,1
2.1,66,46,3,5,0
3.2,71,51,4,6,0
4.2,76,56,5,6,1
5.2,81,61,6,7,1
6.2,87,66,7,7,1
7.2,91,72,8,8,1
8.2,96,78,9,8,1
1.8,63,44,2,5,0
